# TIC 276754403, Night 2025-04-29
# Transit midtime (Tc) = 2460795.7795524481
BJD,FLUX
2460814.70022263,1.0
2460814.7773775742,1.0
2460814.8545325184,1.0
2460814.931687463,1.0
2460815.0088424073,1.0
2460815.0859973514,1.0
2460815.1631522956,0.9985142164773052
2460815.2403072403,0.9872611926833077
2460815.3174621845,1.0
2460815.3946171287,1.0
2460815.471772073,1.0
2460815.548927017,1.0
2460815.6260819617,1.0
2460815.703236906,1.0
2460815.78039185,1.0
2460815.857546794,1.0
2460815.934701739,1.0
2460816.011856683,1.0
2460816.0890116272,0.9982372091539248
2460816.1661665714,0.9872704872702855
2460816.243321516,1.0
2460816.3204764603,1.0
2460816.3976314045,1.0
2460816.4747863486,1.0
2460816.5519412933,1.0
2460816.6290962375,1.0
2460816.7062511817,1.0
2460816.783406126,1.0
2460816.8605610705,1.0
2460816.9377160147,1.0
2460817.014870959,0.9979460485775159
2460817.092025903,0.9872800474551261
2460817.1691808472,1.0
2460817.246335792,1.0
2460817.323490736,1.0
2460817.4006456803,1.0
2460817.4778006244,1.0
2460817.554955569,1.0
2460817.6321105133,1.0
2460817.7092654575,1.0
2460817.7864204017,1.0
2460817.8635753463,1.0
2460817.9407302905,0.9976419870240706
2460818.0178852347,0.9872898807548998
2460818.095040179,1.0
2460818.1721951235,1.0
2460818.2493500677,1.0
2460818.326505012,1.0
2460818.403659956,1.0
2460818.4808149007,1.0
2460818.557969845,1.0
2460818.635124789,1.0
2460818.7122797333,1.0
2460818.7894346775,1.0
2460818.866589622,0.9973261937763469
2460818.9437445663,0.9872999949659896
2460819.0208995105,1.0
2460819.0980544547,1.0
2460819.1752093993,1.0
2460819.2523643435,1.0
2460819.3295192877,1.0
2460819.406674232,1.0
2460819.4838291765,1.0
2460819.5609841207,1.0
2460819.638139065,1.0
2460819.715294009,1.0
2460819.7924489537,0.9969997770239912
2460819.869603898,0.9873103981628756
2460819.946758842,1.0
2460820.0239137863,1.0
2460820.101068731,1.0
2460820.178223675,1.0
2460820.2553786193,1.0
2460820.3325335635,1.0
2460820.4096885077,1.0
2460820.4868434523,1.0
2460820.5639983965,1.0
2460820.6411533407,1.0
