# TIC 276754403, Night 2025-07-15
# Transit midtime (Tc) = 2460872.5998194860
# T1 = 2460872.5443472126
# T4 = 2460872.6552917594
BJD,FLUX
2460872.637152523,0.9879986764271703
2460872.6373983705,0.9880238010289407
2460872.6376442183,0.9880496261683287
2460872.637890066,0.9880761806405015
2460872.6381359138,0.9881034952190213
2460872.6383817615,0.9881316028669875
2460872.638627609,0.9881605389245242
2460872.6388734565,0.9881903416111404
2460872.6391193043,0.988221052025258
2460872.639365152,0.9882527147472774
2460872.6396109997,0.9882853782418737
2460872.6398568475,0.988319095403011
2460872.640102695,0.9883539242114701
2460872.640348543,0.9883899285371698
2460872.6405943907,0.9884271791308548
2460872.6408402384,0.9884657548680201
2460872.641086086,0.9885057443359178
2460872.6413319334,0.9885472478184385
2460872.641577781,0.9885903803632653
2460872.641823629,0.9886352750748242
2460872.6420694767,0.9886820887537638
2460872.6423153244,0.9887310096814732
2460872.642561172,0.988782269857235
2460872.64280702,0.9888361654758919
2460872.6430528676,0.9888930950213463
2460872.6432987154,0.9889536438395997
2460872.643544563,0.9890188675344699
2460872.643790411,0.9891224883831885
2460872.6440362586,0.9892730896690192
2460872.644282106,0.9894503886364758
2460872.6445279536,0.9896479181756822
2460872.6447738013,0.9898618573494278
2460872.645019649,0.9900895295615905
2460872.645265497,0.9903288869977868
2460872.6455113445,0.9905782746466925
2460872.6457571923,0.9908363036480687
2460872.64600304,0.9911017759359155
2460872.6462488878,0.991373635990975
2460872.6464947355,0.9916509381937894
2460872.6467405832,0.9919328237505135
2460872.646986431,0.9922185037947295
2460872.6472322783,0.9925072460875276
2460872.647478126,0.992798367338308
2460872.6477239737,0.9930912220991864
2460872.6479698215,0.9933851986193833
2460872.648215669,0.9936797130781034
2460872.648461517,0.9939742051915215
2460872.6487073647,0.9942681344472802
2460872.6489532124,0.994560976814331
2460872.64919906,0.9948522218104475
2460872.649444908,0.995141369833559
2460872.6496907556,0.9954279296792201
2460872.6499366034,0.9957114161770757
2460872.6501824507,0.9959913473586609
2460872.6504282984,0.9962672442650363
2460872.650674146,0.996538625396022
2460872.650919994,0.9968050063435356
2460872.6511658416,0.9970658965593674
2460872.6514116894,0.9973207963615714
2460872.651657537,0.9975691935294067
2460872.651903385,0.9978105593342335
2460872.6521492326,0.9980443437994504
2460872.6523950803,0.9982699699001886
2460872.652640928,0.9984868262856057
2460872.6528867753,0.998694257518951
2460872.653132623,0.9988915531973743
2460872.653378471,0.9990779285578184
2460872.6536243185,0.9992525018280868
